420,1100,D,S,2,C,,n
2000,1118,D,S,2,A,,c
405,1089,D,S,2,0,,c
470,973,D,S,2,C,,c
505,896,D,S,2,C,,n
4000,920,D,S,2,A,,n
29ER,895,D,S,2,A,,c
49ER,697,D,S,2,A,,n
A CLASS,684,C,U,1,0,,n
ALBACORE,1037,D,S,2,0,,c
ALTO,921,D,S,2,A,,n
B14,853,S,S,2,A,,c
BLAZE,1033,S,U,1,0,,c
BLAZE FIRE,1050,S,U,1,0,,c
BOSUN,1198,D,S,2,0,,c
BRITISH MOTH,1165,S,U,1,0,,c
BUZZ,1006,D,S,2,A,,c
BYTE CI,1217,S,U,1,0,,c
BYTE CII,1132,S,U,1,0,,c
BYTE,1190,S,U,1,0,,c
CADET,1440,D,S,2,C,,c
CANOE INTERNATIONAL,866,S,S,1,0,,n
CATAPULT,898,C,U,1,0,,c
CHALLENGER,1171,S,U,1,0,,c
CHERUB,903,D,S,2,A,,c
COMET,1210,S,U,1,0,,c
COMET DUO,1178,D,S,2,0,,n
COMET MINO,1193,S,U,1,0,,n
COMET RACE,1050,S,U,1,0,,#
COMET TRIO MK1,1092,D,S,2,0,,c
COMET TRIO MK2,1050,D,S,2,0,,c
COMET VERSA,1165,S,U,1,0,,c
COMET ZERO ,1250,D,S,2,0,,n
CONTENDER,966,S,U,1,0,,c
DART 16 SLOOP D/H,905,C,U,1,0,,c
DART 18,822,C,S,2,0,,c
DART 18 S/H,824,C,U,1,0,,c
DEVOTI D-ONE,950,S,U,1,A,,c
DEVOTI D-ZB,1056,S,U,1,0,,c
DEVOTI D-ZERO,1032,S,U,1,0,,c
D-ZERO BLUE,1066,S,U,1,0,,c
ENTERPRISE,1133,D,S,2,0,,c
EUROPE,1147,S,U,1,0,,#
FINN,1047,S,U,1,0,,c
FIREBALL,955,D,S,2,C,,c
FIREFLY,1174,D,S,2,0,,c
FLYING DUTCHMAN,879,D,S,2,C,,c
FLYING FIFTEEN,1026,D,S,2,C,,c
FORMULA 18,673,C,S,2,A,,c
FUSION PRO,1280,,U,1,0,,c
FUSION PRO GEN,1275,,S,2,A,,c
GP14,1138,D,S,2,C,,n
GRADUATE,1110,D,S,2,C,,n
HADRON H2,1045,S,U,1,0,,n
HALO,992,S,S,2,0,,c
HARRIER,1090,S,S,1,0,,
HERON,1345,D,U,1,0,,c
HOBIE 16,819,C,S,2,0,,
HOBIE FX1,721,C,S,2,0,,
HORNET,959,D,S,2,C,,n
HURRICANE 5.9 SX,695,C,S,2,A,,n
ICON,976,D,S,2,0,,c
INT 14,758,D,S,2,A,,c
INT CANOE,847,S,U,1,0,,c
INT CANOE - ASYM,866,S,U,1,A,,n
INT LIGHTNING,1003,S,U,1,0,,n
INT MOTH,570,S,U,1,0,,#
INT MOTH - NO FOILS,980,S,U,1,0,,n
ISO,922,D,S,2,A,,c
JAVELIN,920,D,S,2,C,,#
K1,1070,S,S,2,0,,n
K6,915,D,S,2,A,,c
KESTREL,1035,D,S,2,C,,c
LARK,1062,D,S,2,C,,c
LASER,1102,L,S,2,0,,c
LASER 3000,1085,D,U,1,A,,n
LASER 4.7,1213,L,S,2,0,,c
LASER 5000,846,D,S,2,A,,c
LASER BAHIA,1095,D,S,2,A,,c
LASER EPS,1033,S,S,2,0,,#
LASER II,1085,D,S,2,C,,n
LASER II FUN,1085,D,S,2,0,,c
LASER PICO,1330,S,U,1,0,,c
LASER RADIAL,1154,L,U,1,0,,c
LASER STRATOS,1103,D,S,2,A,,c
LASER VAGO XD,1071,D,S,2,A,,
LASER VAGO XD S/H,1074,S,U,1,A,,
LEADER,1115,D,S,2,C,,
LIGHTNING 368,1160,S,U,1,0,,n
LIGHTNING SR,1205,S,U,1,0,,
MARAUDER,1042,S,U,1,0,,n
